Month,Brand,Forecast,Lower_80CI,Upper_80CI
2026-01-01,Renault,3848,791,6904
2026-02-01,Renault,3547,0,7203
2026-03-01,Renault,3533,0,7469
2026-04-01,Renault,3093,0,7200
2026-05-01,Renault,2985,0,7219
2026-06-01,Renault,2976,0,7315
2026-01-01,Tata,57986,46612,69361
2026-02-01,Tata,57173,45166,69181
2026-03-01,Tata,58617,45877,71356
2026-04-01,Tata,53879,40455,67304
2026-05-01,Tata,55224,41147,69300
2026-06-01,Tata,47268,32567,61968
2026-01-01,Toyota,32812,27600,38025
2026-02-01,Toyota,32484,26604,38365
2026-03-01,Toyota,34178,28072,40284
2026-04-01,Toyota,29795,23576,36014
2026-05-01,Toyota,34409,28114,40705
2026-06-01,Toyota,32759,26400,39117
2026-01-01,Hyundai,55178,43997,66358
2026-02-01,Hyundai,48507,34846,62168
2026-03-01,Hyundai,51955,37115,66795
2026-04-01,Hyundai,46538,31022,62055
2026-05-01,Hyundai,45760,29797,61723
2026-06-01,Hyundai,46259,29964,62553
